set,icon,text_de,text_en
4,vorteil-hidden-champion.png,"Arbeiten bei einem Hidden Champion","Working for a hidden champion"
4,vorteil-gebaeude.png,"Modernste Montage- und Verwaltungsgebäude (Lifecycle Building)","State-of-the-art assembly and office building (Lifecycle Building)"
4,vorteil-entwicklung.png,"Individuelle berufliche Entwicklungsmöglichkeiten","Individual career development opportunities"
4,vorteil-familie.png,"Familienfreundliches und familiengeführtes Unternehmen mit dem Flair eines Global Players","Family-friendly and family-run company with the flair of a global player"
6,vorteil-hidden-champion.png,"Arbeiten bei einem Hidden Champion","Working for a hidden champion"
6,vorteil-gebaeude.png,"Modernste Montage- und Verwaltungsgebäude (Lifecycle Building)","State-of-the-art assembly and office building (Lifecycle Building)"
6,vorteil-entwicklung.png,"Individuelle berufliche Entwicklungsmöglichkeiten","Individual career development opportunities"
6,vorteil-familie.png,"Familienfreundliches und familiengeführtes Unternehmen mit dem Flair eines Global Players","Family-friendly and family-run company with the flair of a global player"
6,vorteil-uebernahme.png,"i. d. R. unbefristete Übernahme nach Abschluss der Ausbildung","As a rule, permanent employment after completing your training"
6,vorteil-schulungszentrum.png,"Modernste praktische und theoretische Ausbildung im standorteigenen Schulungszentrum","State-of-the-art practical and theoretical training in our on-site training center"
india,vorteil-gebaeude.png,"Best office infrastructure and medical facilities ensuring well-being of our employees.","Best office infrastructure and medical facilities ensuring well-being of our employees."
india,vorteil-familie.png,"Thriving in a dynamic, family friendly environment ensuring work-life balance","Thriving in a dynamic, family friendly environment ensuring work-life balance"
india,vorteil-entwicklung.png,"Foster individual expertise and empowering teamwork in driving success","Foster individual expertise and empowering teamwork in driving success"
india,vorteil-hidden-champion.png,"Grow with global player ensuring career development with a defined path of growth","Grow with global player ensuring career development with a defined path of growth"
